,company name,position,worktime,City
0,Pratik Aday Servisi,İnsan Kaynakları Uzmanı,Tam zamanlı,Antalya
1,Pratik Aday Servisi,Muhasebe Şefi,Tam zamanlı,Isparta
2,Gizli Firma,Executive Chef,Tam zamanlı,Kırklareli
3,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
4,Elkon Elevatör Konveyör Mak.San. ve Tic. A.Ş.,Elektrik Elektronik Mühendisi,Tam zamanlı,Tekirdağ
5,NETSPEED İNTERNET ANONİM ŞİRKETİ,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,Denizli
6,Gizli Firma,Satış Uzmanı (Sakarya),Tam zamanlı,Sakarya
7,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
8,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
9,Sigorta Bilgi ve Gözetim Merkezi,Siber Dayanıklılık Uzmanı / Kıdemli Uzmanı,Tam zamanlı,İstanbul(Asya)
10,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
11,Erdem Sağlık Grubu,Hemşire/Hemşire Yardımcısı,Tam zamanlı,İstanbul(Asya)
12,GAPEL OTOMOTİV SAN.VE TİC.LTD.ŞTİ.,Müşteri İlişkileri Sorumlusu,Tam zamanlı,Şanlıurfa
13,CMC REFRIGERATION İKLİMLENDİRME İMALAT İHRACAT İTHALAT SAN.TİC.LTD.ŞTİ.,İnsan Kaynakları Uzmanı,Tam zamanlı,Sivas
14,Soho House Istanbul,Elektrik Teknisyeni,Tam zamanlı,İstanbul(Avr.)
15,Nidaş Mad.Taş.Makina İth.İhr.Kimya San.Tic.A.Ş,Ön Muhasebe Personeli,Tam zamanlı,Niğde
16,YAZAKİ OTOMOTİV YAN SANAYİ VE TİCARET A.Ş.,Endüstri Mühendisi,Tam zamanlı,Sakarya
17,SANTA FARMA İLAÇ SAN.A.Ş.,AR-GE Farmasötik Teknoloji Geliştirme Yöneticisi,Tam zamanlı,Kocaeli
18,Perfetti Van Melle,Quality Control Engineer,Tam zamanlı,İstanbul(Avr.)
19,LEGRAND ELEKTRİK SANAYİ A.Ş.,Plastik Üretim Mühendisi,Tam zamanlı,Kocaeli
20,ŞEKERBANK T. A.Ş.,Ticari-Kobi-İşletme Bankacılığı Satış Temsilcisi,Tam zamanlı,İstanbul (Tümü)
21,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,Hazır Beton Elektrik Bakım Teknisyeni,Tam zamanlı,İstanbul (Tümü) +3 il daha
22,ENKAL FİLO ARAÇ KİRALAMA HİZMETLERİ ANONİM ŞİRKETİ,Motosiklet Satış Danışmanı,Tam zamanlı,İstanbul(Asya)
23,Sektöründe Lider Firma,Tedarik Planlama Uzmanı,Tam zamanlı,İstanbul(Asya)
24,BURAKCAN KALIP SANAYİ TİC.LTD.ŞTİ.,Dış Ticaret Uzmanı,Tam zamanlı,İstanbul(Avr.)
25,SERKAN İLETİŞİM TÜRK TELEKOM MAĞAZALARI,Bayi Satış Yetkilisi,Tam zamanlı,Konya
26,DORUK SAĞLIK GRUBU,Özel Doruk Nilüfer Hastanesi Restorant Elemanı,Tam zamanlı,Bursa
27,DETA-GEN GENETİK HASTALIKLAR TANI MERKEZİ,Mikrobiyoloji Uzmanı,Tam zamanlı,Kayseri
28,Pratik Aday Servisi,Pazarlama Uzmanı,Tam zamanlı,İstanbul(Asya)
29,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Team Lead Quality Operations,Tam zamanlı,İstanbul(Avr.)
30,Dinamo Fuar Hizmetleri,Fuar Satış Uzmanı,Tam zamanlı,İstanbul(Avr.)
31,GKN SİNTER İSTANBUL METAL SAN.VE TİC.A.Ş.,Product Engineer,Tam zamanlı,İstanbul(Avr.)
32,VOLT ELEKTRİK MOTOR SAN. VE TİC. A.Ş.(KEMALPAŞA),Planlama Yöneticisi,Tam zamanlı,İzmir
33,Tek Çelik İç ve Dış Tic. İnş. San. A.ş,Makine Mühendisi,Tam zamanlı,İzmir
34,The Gym A Plus,Resepsiyonist,Tam zamanlı,İstanbul(Avr.)
35,Altınyıldız Classics-Beymen Business,Bilgi İşlem Uzman Yardımcısı,Tam zamanlı,İzmir
36,BMC OTOMOTİV SANAYİ VE TİCARET A.Ş.,İdari İşler Uzmanı,Tam zamanlı,İzmir
37,Gizli Firma,Puantör,Tam zamanlı,İstanbul (Tümü)
38,Bakırlar Yapı Malzemeleri İnşaat ve Ticaret Ltd.,Danışma Görevlisi,Tam zamanlı,İstanbul(Asya)
39,Gizli Firma,Kalite Sorumlusu,Tam zamanlı,İstanbul(Avr.)
40,Mengerler Ticaret Türk A.Ş. izmir Şubesi Egemer,Servis Kabul Danışmanı,Tam zamanlı,İzmir
41,BKM MUTFAK YAPIM VEYAYINCILIK ORGANİZASYON ANONİM ŞİRKETİ,Barmen / Barmaid,Tam zamanlı,İstanbul(Asya)
42,AERDIESEL OTOMOTİV YEDEK PARÇA SANAYİ VE TİCARET L,Arge Destek Mühendisi,Tam zamanlı,Konya
43,ebebek,Takım Lideri / Cevahir Avm,Tam zamanlı,İstanbul(Avr.)
44,ebebek,Bebekolog/Part Satış Danışmanı - Maslak,Part Time,İstanbul(Avr.)
45,Medident İstanbul,Çağrı Merkezi Müşteri Temsilcisi,Tam zamanlı,İstanbul (Tümü)
46,ELKON ELEVATÖR KONVEYÖR VE MAKİNA SAN.VE TİC.A.Ş.,Özel Güvenlik Elemanı,Tam zamanlı,Tekirdağ
